PMID,BHB Target,Model Raw,Model Global,Model Cannonical,Mechanism Raw,Mechanism Cannonical,Organ/tissue Raw,Organ/tissue Cannonical,Cell Type Raw,Cell Type Global,Celly Type Cannonical,Organelle Raw,Organelle Global,Organelle Cannonical,Disease,Disease Category,Disease Outcome Nonstandardized,Disease Outcome Standardized,BHB Source Raw,BHB Source Cannonical,Isomer
35999339,0,mouse cerebral cortical slices,animal; in vitro,Multi-model,"competition for oxidative metabolism, no-change",Metabolic Regulation,cerebral cortex,Brain/CNS,astrocytes; neurons,Neural / Glial,Astrocytes; Neurons,cellular compartments,Unspecified / Generic,NS,GLUT1 deficiency syndrome,Genetic / Congenital,"beneficial effect, positive","Quality of life, positive",200 microM [U-(13)C]betaHB,In vitro media supplementation,NS
36045720,FGF21; 0,HepG2 cells; mice,animal; in vitro,In vitro – Immortalized cell line; Animal – Mouse,"HDACs activity inhibition, down",Epigenetic Regulation,hepatocytes,Liver,HepG2 cells,Epithelial – Hepatobiliary & Pancreatic Ductal,Hepatocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",intraperitoneal injections of beta-OHB,Intraperitoneal BHB,NS
36077579,BDNF; MAP1LC3B; ATG14; GJA1,C57BL/6J mice; streptozotocin (STZ)-induced diabetic mice,animal,Animal – Mouse,"autophagy, down",Cell Death & Survival,retina,Eye/Retina,microglia,Neural / Glial,Microglia,autophagosome-lysosome formations,Multi-organelle,Multiple,Diabetic retinopathy,Ophthalmologic,"retinal cell safety, up","Cell survival, up",i.p. injections of BHB (25-50-100 mg/kg) twice a week for 10 weeks,Intraperitoneal BHB,NS
36116157,G6PD,mouse cardiac arrest and cardiopulmonary resuscitation model; HT22 cells (oxygen-glucose deprivation/reoxygenation),animal; in vitro,Animal – Mouse; Multi-model,"pentose phosphate pathway, up",Metabolic Regulation,brain,Brain/CNS,neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Post-cardiac arrest brain injury,Injury & Trauma,"survival, up; neurologic function, up","Survival, up; Neurological deficit score, up",ketogenic diet (KD); beta-hydroxybutyrate (beta-OHB) treatment,Ketogenic diet (endogenous); Exogenous BHB (unspecified/free acid),NS
36170837,IL2; HCAR2,NS,NS,NS,"GPR109A activation, up",Hormonal Regulation,airway,Upper airway,mast cell,Hematopoietic / Immune,Basophils / Mast cells,NS,Unspecified / Generic,NS,Asthma,Respiratory,"airway inflammation, down","Inflammation, down","ketogenic diet (KD); 1,3-butanediol","Ketogenic diet (endogenous); 1,3-Butanediol (BD)",NS
36237185,HMGCS2; SLC5A8; OXCT1; SIRT3; 0,ZDF rats; SMCT1 flox/floxCre+ mice; SMCT1 flox/floxCre- mice; HK2 cells,animal; in vitro,Animal – Rat; Animal – Mouse; In vitro – Immortalized cell line,"SIRT3/SMCT1 pathway, down",Metabolic Regulation,proximal tubular epithelial cells,Kidney,HK2 cells,Epithelial – Renal & Urothelial,Renal tubular epithelial,mitochondria,Mitochondria,Unspecified,Tubular damage,Renal & Urological,"cell survival, up","Survival, up",2 mmol/l BHB,Multi-source,NS
36240323,0,8 healthy men,human,Human – Observational/Patient samples,"suppression of lipolysis, down",Metabolic Regulation,skeletal muscle,Skeletal muscle,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"insulin sensitivity, up","Insulin sensitivity, up",infusion,NS,NS
36248655,LEP,overweight and obese adults; KD + KS (n = 12); KD + PL (n = 13); LFD (n = 12),human,Human – Observational/Patient samples; NS,"NS, nan",Other / Unspecified,serum,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"depression, down; anger, down; math processing performance, up; go/no-go performance, up","Depressive-like behavior, down; Anxiety-like behavior, down; Cognitive performance, up",exogenous ketone salt (KS),Ketone salt (KS),NS
36282607,0,21 participants,human,Human – Observational/Patient samples,"NS, nan",Other / Unspecified,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Posttraumatic stress disorder,Neurodevelopmental & Neuropsychiatric,"PCL-5 score, down","Symptom severity, down",ketone salt supplementation; each dose included 7 g of ketones in the form of beta-hydroxybutyrate for a total of 14 g/d,Ketone salt (KS); Exogenous BHB (unspecified/free acid),NS
36283935,0,pronucleate mouse oocytes; blastocysts; recipient mice; E14.5 fetuses,animal; in vitro,Animal – Mouse; In vitro – Organoids/3D cultures,"histone acetylation, up",Epigenetic Regulation,trophectoderm,Placenta/Decidua,trophectoderm cells,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"post-implantation fetal development, down","Fetal development, down",AcAc+betaOHB,Multi-source,NS
36291708,0,induced pluripotent stem cell cardiac myocytes (iPS-CMs),in vitro,In vitro – Primary cells,"histone deacetylases inhibition, down",Epigenetic Regulation,heart,Heart,induced pluripotent stem cell cardiac myocytes (iPS-CMs),Muscle – Skeletal,Skeletal myocytes / myotubes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",commercial R betaOHB and racemic +/-betaOHB,Exogenous BHB (unspecified/free acid),D-BHB; racemic
36339507,HCAR2; TGFB1; CXCL2; TLR2; IL10; IL1B,RAW 264.7 (mouse macrophages),in vitro,Multi-model,"Gpr109a expression, up",Other / Unspecified,NS,NS,RAW 264.7 macrophages,Hematopoietic / Immune,Macrophages,NS,Unspecified / Generic,NS,Mastitis,Infectious,"macrophage inflammatory response, altered","Inflammation, altered","BHB (0, 0.6, 1.2, and 1.8 mM) in medium",In vitro media supplementation,NS
36361698,0; CD36,rodent cardiomyocytes; human cardiomyocytes,animal; human; in vitro,In vitro – Primary cells,"v-ATPase disassembly, up",Ion & Nutrient Transport,heart,Heart,cardiomyocytes,Muscle – Cardiac,Cardiomyocytes,endosomes,Endosome System,Unspecified,Insulin resistance,Metabolic & Endocrine,"cardiac function, down","Cardiac function, down",3-beta-hydroxybutyrate (3HB),Exogenous BHB (unspecified/free acid),NS
36423429,STAT3; NLRP3; GSDMD; IL1B; IL18,MPTP-induced mice; MPP(+)-simulated BV2 cells,animal; in vitro,Animal – Mouse; In vitro – Immortalized cell line,"STAT3-mediated NLRP3 inflammasome activation, down",Inflammation & Immune Response,NS,NS,microglia,Neural / Glial,Microglia,NS,Unspecified / Generic,NS,Parkinson's disease,Neurodegenerative,"motor function, up; dopaminergic neuron loss, down; glial cell activation, down; IL-1beta and IL-18 levels, down","Motor function, up; Neuronal survival, down; Neuroinflammation, down; Cytokine level, down",BHB supplement,Exogenous BHB (unspecified/free acid),NS
36435477,ZFP36,SN4741 cells; C57BL/6 mice,animal; in vitro,In vitro – Immortalized cell line; Animal – Mouse,"ZFP36/ACSL4 axis modulation, NS",Multiple mechanisms,brain,Brain/CNS,dopaminergic neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Parkinson's disease,Neurodegenerative,"oxidative stress and ferroptosis, down","Oxidative stress, down",NS,NS,NS
36442191,MAPT; LAMP1; MAP1LC3B,NS,NS,NS,"autophagic clearance, up",Cell Death & Survival,NS,NS,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,Alzheimer's disease,Neurodegenerative,"Tau/pTau levels, down","Tau phosphorylation, down",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
36449571,EPO,nine healthy men,human,Human – Observational/Patient samples,"NS, nan",Other / Unspecified,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",ketone monoester (R)-3-hydroxybutyl (R)-3-hydroxybutyrate,Ketone ester (KE),D-BHB
36450263,CAMK2A,mice,animal,Animal – Mouse,"beta-hydroxybutyrylation, up",Epigenetic Regulation,hippocampus,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Cocaine use disorder,Toxicology / Poisoning,"cocaine-induced reinstatement, down","Relapse behavior, down",ketogenic diet (KD),Ketogenic diet (endogenous),NS
36466740,0; CXCL8,mouse macrophages; mouse airway epithelial cells; human airway epithelial cells; polyclonally and HDM-activated T cells; bronchial smooth muscle cells; acute HDM sensitization and challenge mouse models; HDM rechallenge chronic model; HDM-driven mixed-granulocytic severe asthma model,animal; in vitro,Animal – Mouse; In vitro – Primary cells; Multi-model; Animal – Other Mammal,"anti-inflammatory activity, up",Inflammation & Immune Response,lung,Lung,airway epithelial cells,Epithelial – Respiratory,Airway/bronchial epithelial,NS,Unspecified / Generic,NS,Asthma,Respiratory,"methacholine hyperresponsiveness, down","Airway hyperresponsiveness, down",ketogenic diet; ketone precursor; ketone ester dietary supplement,Ketogenic diet (endogenous); NS; Ketone ester (KE),NS
36516926,0,SH-SY5Y neuroblastoma cell; primary neuron; primary astrocyte,in vitro,In vitro – Immortalized cell line; In vitro – Primary cells,"neuron respiration, up",Mitochondrial Function & Bioenergetics,brain,Brain/CNS,SH-SY5Y neuroblastoma cell,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Aging; neurodegenerative diseases,Aging & Frailty; Neurodegenerative,"cell senescence, down","Cell senescence, down",NS,NS,NS
36517647,0,52 patients (possible cardiac sarcoidosis or suspected intracardiac infection) following ketogenic diet and prolonged fasting,human,Multi-model,"ketonaemia-mediated SUVbw reduction, down",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",ketogenic diet and prolonged fasting,Multi-source,NS
36533180,BDNF; SLC16A1; APC; HDAC3; PARP1; AIFM1; TRPA1; NTRK2; DCX; RBFOX3; PDGFRA; SOX2; GFAP; TRAP1; OLIG2; MAPK14; MAPK8; JUN; 0,continuous 35 days CPZ mouse model,animal,Animal – Mouse,"down-regulation of TRPA1 and PARP, down",Multiple mechanisms,corpus callosum,Brain/CNS,oligodendrocyte,Neural / Glial,Oligodendrocytes / OPCs,NS,Unspecified / Generic,NS,Multiple sclerosis,Autoimmune & Inflammatory,"myelin loss, down","Myelination, down",exogenous BHB,Exogenous BHB (unspecified/free acid),NS
36543135,AIFM2,"1,264 clinical cases of liver failure; major-liver-resection-induced ALF mouse",human; animal,Human – Observational/Patient samples; Animal – Mouse,"H3K9bhb-mediated chromatin opening, up",Epigenetic Regulation,pancreas,Pancreas,pancreatic cells,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Pancreatitis,Gastrointestinal & Hepatobiliary,"ferroptosis, down","Cell survival, down",beta-HB administration in ALF mice,NS,NS
36565045,GHRL; PYY,adults with prediabetes,human,Human – Observational/Patient samples,"NS, nan",Other / Unspecified,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Prediabetes,Metabolic & Endocrine,"appetite regulation, no-change","Appetite, no-change","ketone monoester (d-beta-hydroxybutyrate-(R)-1,3 butanediol) drink",Multi-source,D-BHB
36594212,FBN1; LEP,18 adults,human,Human – Observational/Patient samples,"white adipose tissue role, no-change",Metabolic Regulation,white adipose tissue,Adipose tissue,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"plasma asprosin and leptin levels, no-change","Plasma asprosin and leptin levels, no-change","D-beta-hydroxybutyrate-(R)-1,3 butanediol monoester (KEbetaHB) drink",Multi-source,D-BHB
36607453,0,mice (48 h fasting),animal,Animal – Mouse,"histone beta-hydroxybutyrylation, up",Epigenetic Regulation,cerebral cortex,Brain/CNS,neural tissue cells,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",ketogenic metabolic challenge (48 h fasting),Fasting / Caloric restriction (endogenous),NS
3666283,BCAT2; BCAT1; BCKDHA; 0,extensor digitorum communis muscles from fed chicks; muscles from 24-hr fasted chicks,animal,Animal – Other Mammal; Ex vivo – Tissue/Organ explant or slice,"leucine oxidative decarboxylation, down",Metabolic Regulation,extensor digitorum communis muscles,Skeletal muscle,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",DL-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),racemic
36688496,0,C57BL/6 mice; DHEA-induced PCOS mice; KGN cells,animal; in vitro,Animal – Mouse; In vitro – Immortalized cell line,"inflammation and cell apoptosis inhibition, down",Cell Death & Survival,ovaries,Ovary,KGN cells,Unspecified / Mixed,Cell line (origin unclear),NS,Unspecified / Generic,NS,Polycystic ovary syndrome,Reproductive & Pregnancy,"ovarian functions, up","Ovarian function, up",NS,NS,NS
36701897,FOXO1,clinical patients; diabetic rats; HG-stimulated HCMECs,human; animal; in vitro,Human – Observational/Patient samples; Animal – Rat; In vitro – Primary cells,"FoxO1 generation, down","Cell Proliferation, Growth & Differentiation",cardiac microvasculature,Vasculature,cardiac microvascular endothelial cells,Endothelial,Endothelial (unspecified),NS,Unspecified / Generic,NS,Diabetes mellitus,Metabolic & Endocrine,"endothelial injury, down","Endothelial function, down",D-beta-hydroxybutyrate (BHB),Exogenous BHB (unspecified/free acid),D-BHB
36730763,VEGFC,human dermal lymphatic endothelial cells; mouse tail lymphedema model,human; animal; in vitro,In vitro – Primary cells; Animal – Mouse,"lymphangiogenesis, up",Vascular Function & Angiogenesis,lymphatic vessels,Vasculature,human dermal lymphatic endothelial cells,Endothelial,Lymphatic endothelial,NS,Unspecified / Generic,NS,Lymphedema,Other / Unspecified,"tail volume, down; fibrosis, down; lymphatic vessel density, up","Tail volume, down; Fibrosis, down; Lymphatic vessel density, up",high-fat diet (HFD); 20 mM beta-OHB,Ketogenic diet (endogenous); In vitro media supplementation,NS
36734124,NPY,adults with obesity (n=35; 12 males),human,Human – Observational/Patient samples; NS,"pNPY decrease, down",Neurotransmission & Neuronal Plasticity,serum,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Obesity,Metabolic & Endocrine,"emotional eating, nan; external eating, down","Appetite, nan; Appetite, down",12-week ketogenic diet (12KD),Ketogenic diet (endogenous),NS
36745963,0,children with drug-resistant epilepsy (DRE),human,Human – Observational/Patient samples,"oxidative stress reduction, down",Oxidative Stress & Antioxidant Defense,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Epilepsy,Neurodevelopmental & Neuropsychiatric,"seizure frequency, down","Seizure activity, down",ketogenic diet (KD),Ketogenic diet (endogenous),NS
36750771,0,WAG/Rij rats,animal,Animal – Rat,"elevated blood ketone body level, up",Metabolic Regulation,blood,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"blood glucose level, no-change; recovery time from anesthesia, up","Blood glucose, no-change; Recovery time, up",KEMCT (mix of ketone ester/KE and medium chain triglyceride/MCT oil in a 1:1 ratio),Multi-source,NS
36766827,SIRT2; FOXO1; FOXO3; PPARGC1A; TFEB; 0,cultured neurons; KD-treated mice,animal; in vitro,In vitro – Primary cells; Animal – Mouse,"SIRT2 upregulation, up",Epigenetic Regulation,brain,Brain/CNS,neurons,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"neuronal resistance to energy stress, up","Neuronal survival, up",D-beta-hydroxybutyrate (D-BHB),Exogenous BHB (unspecified/free acid),D-BHB
36775129,NLRP3,aging mouse models; liver HMGCL-deficient mice; neutrophil HMGCL-deficient mice; macrophage HMGCL-deficient mice; myeloid cell-specific Hmgcl-deficient mice,animal,Animal – Mouse,"NLRP3 inflammasome inhibition, down",Inflammation & Immune Response,liver,Liver,myeloid cells,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Age-related inflammation,Aging & Frailty,"healthspan, up","Lifespan, up",liver-derived circulating ketone bodies,Ketogenic diet (endogenous),NS
36790381,PRKAA1; SIRT1; PPARGC1A; PRDM16; UCP1; 0,Male Sprague-Dawley rats; Adult men (n=13),animal; human,Animal – Rat; Human – Observational/Patient samples,"AMPK-SirT1-PGC1alpha pathway, up",Multiple mechanisms,white adipose tissue,Adipose tissue,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"fat browning, up","Fat browning, up",single bout of aerobic exercise in the fasted state,Fasting / Caloric restriction (endogenous),NS
36799478,0,isolated perfused rat heart,animal,Animal – Rat,"glycolysis, down",Metabolic Regulation,heart,Heart,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",4 mM [(14) C]betaHB,In vitro media supplementation,D-BHB
36810364,GCG; AKT1; STAT3; IRS2; DGKE; FFAR3,murine GLUTag cells; differentiated human jejunal enteroid monolayers,in vitro,Animal – Mouse; In vitro – Organoids/3D cultures,"PI3K signalling, NS","Cell Proliferation, Growth & Differentiation",epithelial layer of the gut,Gastrointestinal (unspecified segment),enteroendocrine cells (EECs),Epithelial – Gastrointestinal,Enteroendocrine cells,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"GLP-1 secretion, down","Insulin secretion, down",NS,NS,NS
36834515,IL17A; IL10,BV2 microglial cells,in vitro,In vitro – Immortalized cell line,"microglial polarization to M2, up",Inflammation & Immune Response,NS,NS,BV2 microglial cells,Neural / Glial,Microglia,NS,Unspecified / Generic,NS,nan,Neurodegenerative,"neuroprotection, positive","Neuroprotection, positive",the major ketone body produced during the carbohydrate deprivation that occurs in KD,Ketogenic diet (endogenous),NS
